가수코드,가수이름,활동유형,가수이미지,데뷔연도,주요장르
,아이비,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/001/71/127/171127_500.jpg,2005,"팝
발라드"
,정동하,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/81/188/181188_20210216102842_500.jpg,2005,"발라드
락"
,사이먼 도미닉,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/28/847/428847_20211124172652_500.jpg,2005,힙합
,더콰이엇,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/27/744/27744_500.jpg,2005,"힙합
인디"
,노라조,group,https://cdnimg.melon.co.kr/cm/artistcrop/images/007/85/891/785891_500.jpg,2005,"팝
발라드"
,염따,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/02/530/202530_20200616093200_500.jpg,2006,힙합
,딕펑스,group,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/54/254/454254_20220405104001_500.jpg,2006,"팝
포크"
,데이브레이크,group,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/29/114/229114_20210201160759_500.jpg,2007,"락
팝
포크"
,박재범,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/43/420/443420_20220712140431_500.jpg,2008,"힙합
RnB"
,비지,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/27/644/27644_500.jpg,2008,"힙합
발라드"
,티아라,group,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/12/000/412000_20211115165044_500.jpg,2009,팝
,전동석,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/69/835/469835_20191125104137_500.jpg,2009,뮤지컬
,JYJ,group,https://cdnimg.melon.co.kr/cm/artistcrop/images/004/99/453/499453_500.jpg,2010,"발라드
RnB
팝
일렉트로니카"
,강형호,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/019/08/704/1908704_20220610181342_500.jpg,2010,"락
클래식
발라드"
,김준수,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/024/01/057/2401057_20220304143753_500.jpg,2010,뮤지컬
,10cm,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/68/244/468244_20220930100210_500.jpg,2010,"포크
인디
발라드"
,허각,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/28/801/28801_20201228155240_500.jpg,2010,발라드
,비투비,group,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/47/971/647971_20220208101130_500.jpg,2010,발라드
,해리 스타일스,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/016/28/764/1628764_20220408100334_500.jpg,2010,팝
,이석훈,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/05/858/205858_20220324105954_500.jpg,2010,발라드
,기리보이,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/85/492/585492_20220520155031_500.jpg,2011,"힙합
인디
발라드"
,릴보이,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/23/251/623251_20220830140033_500.jpg,2011,힙합
,송가인,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/017/01/869/1701869_20220427134633_500.jpg,2012,트로트
,정택운,solo,https://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040004/14/03/0400041403_34313_02.925.gif,2012,발라드
,크러쉬,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/74/710/674710_20220922150716_500.jpg,2012,"RnB
힙합
발라드"
,로꼬,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/88/432/688432_20201014150323_500.jpg,2012,"힙합
발라드"
,그레이,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/72/625/672625_20210817160521_500.jpg,2012,"힙합
RnB
발라드"
,정은지,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/44/871/644871_20221111142623_500.jpg,2012,발라드
,조명섭,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/55/935/2755935_20200402180621_500.jpg,2013,팝
,김호중,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/20/018/720018_20220727122202_500.jpg,2013,"트로트
클래식
발라드"
,카더가든,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/35/506/735506_500.jpg,2013,"락
발라드"
,던말릭,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/89/943/789943_20211019135451_500.jpg,2014,힙합
,김희석,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/70/207/2970207_20220615112415_500.jpg,2014,"발라드
팝
RnB"
,지코,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/02/056/602056_20220719141051_500.jpg,2014,"힙합
발라드"
,반달락,solo,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040004/14/10/0400041410_35914_02714.gif,2014,"일렉트로니카
힙합"
,이센스,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/006/51/631/651631_2_500.jpg,2014,"힙합
인디"
,손진욱,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/017/59/633/1759633_20220211180649_500.jpg,2015,팝
,한요한,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/16/984/716984_20210914101541_500.jpg,2015,"힙합
발라드
RnB"
,JUSTHIS,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/86/499/786499_20220722171049_500.jpg,2015,"힙합
발라드"
,루피,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/57/315/957315_20220826141808_500.jpg,2015,"힙합
인디
일렉트로니카"
,식케이,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/86/648/786648_20200611175819_500.jpg,2015,"힙합
RnB
일렉트로니카"
,멜로망스,duo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/39/732/839732_20220503105326_500.jpg,2015,"팝
발라드"
,키드밀리,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/73/162/873162_20220801105737_500.jpg,2016,힙합
,pH-1,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/43/511/943511_20220915142537_500.jpg,2016,"힙합
RnB"
,송민호,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/42/773/742773_20220705144136_500.jpg,2016,"힙합
RnB"
,다린,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/019/56/564/1956564_20210222095253_500.jpg,2017,인디
,하동연,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/34/159/2634159_20211111180533_500.jpg,2017,"발라드
락"
,우원재,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/018/66/689/1866689_20221124114330_500.jpg,2017,"힙합
RnB"
