가수코드,장르코드
1,G0004
1,G0012
2,G0007
3,G0003
4,G0001
4,G0007
5,G0001
6,G0002
6,G0003
6,G0004
6,G0007
7,G0001
7,G0003
7,G0007
8,G0001
8,G0004
9,G0001
9,G0002
9,G0004
9,G0006
9,G0010
9,G0011
10,G0004
10,G0006
11,G0002
11,G0004
12,G0011
12,G0012
13,G0001
13,G0002
14,G0002
14,G0004
15,G0004
16,G0011
17,G0001
17,G0009
18,G0010
18,G0012
19,G0004
19,G0005
20,G0011
21,G0004
21,G0012
22,G0001
22,G0002
22,G0004
23,G0003
23,G0004
24,G0001
24,G0002
25,G0002
25,G0004
25,G0006
25,G0010
26,G0001
26,G0004
27,G0004
28,G0001
28,G0002
28,G0004
29,G0004
30,G0001
31,G0001
31,G0004
31,G0005
32,G0001
32,G0003
33,G0002
33,G0004
33,G0007
34,G0004
34,G0005
34,G0006
35,G0004
36,G0002
36,G0004
37,G0005
38,G0001
38,G0005
39,G0001
40,G0005
40,G0006
40,G0013
41,G0004
42,G0004
42,G0006
43,G0001
43,G0004
43,G0006
44,G0001
44,G0004
44,G0006
45,G0002
45,G0004
46,G0004
46,G0005
47,G0004
47,G0012
48,G0002
48,G0008
49,G0001
49,G0004
50,G0002
50,G0004
51,G0005
52,G0005
52,G0013
53,G0001
53,G0004
54,G0005
55,G0001
55,G0007
56,G0001
56,G0002
56,G0007
57,G0005
57,G0006
58,G0004
58,G0005
59,G0001
60,G0011
61,G0001
61,G0004
61,G0006
61,G0008
62,G0002
62,G0004
62,G0009
63,G0011
64,G0004
64,G0007
64,G0013
65,G0004
66,G0004
67,G0001
68,G0004
69,G0004
69,G0005
69,G0013
70,G0005
71,G0003
72,G0004
73,G0004
73,G0005
73,G0006
74,G0004
74,G0005
75,G0004
75,G0005
75,G0006
76,G0004
77,G0001
78,G0003
78,G0004
78,G0009
79,G0002
79,G0004
80,G0005
81,G0001
81,G0004
81,G0006
82,G0004
82,G0005
83,G0005
83,G0008
84,G0005
84,G0013
85,G0001
86,G0004
86,G0005
86,G0006
87,G0004
87,G0005
88,G0005
88,G0008
88,G0013
89,G0005
89,G0006
89,G0008
90,G0001
90,G0004
91,G0005
92,G0005
92,G0006
93,G0005
93,G0006
94,G0013
95,G0002
95,G0004
96,G0005
96,G0006
97,G0004
97,G0009
98,G0005
98,G0006
98,G0009
99,G0001
99,G0005
99,G0006
100,G0002
100,G0004
101,G0005
101,G0013
102,G0006
102,G0013
103,G0005
104,G0004
104,G0009
105,G0003
105,G0004
106,G0005
107,G0005
107,G0006
108,G0005
108,G0013
109,G0002
109,G0004
110,G0001
111,G0004
111,G0006
112,G0005
112,G0013
113,G0002
113,G0005
114,G0005
114,G0013
115,G0005
115,G0006
115,G0013
116,G0005
116,G0006
117,G0002
117,G0013
118,G0001
118,G0002
118,G0004
119,G0005
119,G0006
120,G0003
120,G0004
121,G0001
121,G0007
122,G0001
123,G0010
124,G0010
125,G0013
126,G0013
